as_of,n,ic,decile_spread,source,horizon,n_unscoreable
2026-02-27,500,-0.24776143904575615,-0.02382910047181913,walkforward,5,0
2026-03-06,500,0.11887257149028595,0.02030032828387544,walkforward,5,0
2026-03-13,500,0.16148387793551172,0.021152699766783828,walkforward,5,0
2026-03-20,500,0.06214584858339432,-0.0043213507903436706,walkforward,5,0
2026-03-27,500,0.3768658274633098,0.05605847034620037,walkforward,5,0
2026-04-02,500,0.057741542966171865,0.01184865423647189,walkforward,5,0
2026-04-10,500,0.07389792759171036,0.04652845714907414,walkforward,5,0
2026-04-17,500,0.1549031476125904,0.017009477747077326,walkforward,5,0
2026-04-24,500,-0.05395221580886324,-0.01236341804399138,walkforward,5,0
2026-05-01,500,0.009683942968186506,0.030181000553123324,walkforward,5,0
2026-05-08,500,0.08702770811083242,0.005163024459465274,walkforward,5,0
2026-05-15,500,0.025148260593042374,-0.003528155666203684,walkforward,5,0
2026-05-22,500,-0.0362564650258601,-0.04098009927618686,walkforward,5,0
2026-05-29,500,0.06623921054658324,0.008514486487807808,walkforward,5,0
2026-06-05,500,0.22610812585909854,0.05731324601127269,walkforward,5,0
2026-06-12,500,0.18005083652456622,0.06638302688148892,walkforward,5,0
2026-06-18,500,-0.04264989962319609,-0.001160795426667069,walkforward,5,0
2026-06-26,500,-0.1198076152304609,-0.044227133974585706,walkforward,5,0
2026-07-06,492,-0.16714455408353177,-0.025656325449195633,live,1,8
2026-07-07,492,0.3217418807419919,0.028219188268220428,live,1,0
2026-07-08,499,0.1848412970519352,0.023108433177117027,live,1,1
2026-07-09,499,-0.06266364204707348,-0.003068737397504316,live,1,0
2026-07-06,500,-0.057154693990488635,-0.024132921911849577,live,5,0
2026-07-07,492,0.25596480980611475,0.026460436747326076,live,5,0
2026-07-08,461,-0.12807426469597555,-0.020365671146535185,live,5,39
2026-07-09,461,-0.27165761711644953,-0.0674761700089509,live,5,38
2026-07-10,461,-0.1447514854286523,-0.015369482362367902,live,1,39
2026-07-10,461,-0.2568108021375965,-0.061996128807968495,live,5,39
