ticker,prob_outperform,rank_pct
IBKR,0.5039068230859448,0.56
DLTR,0.5037531205968988,0.558
KO,0.503737655966127,0.556
DVN,0.5037307889457804,0.554
ALL,0.5037256501930983,0.552
STZ,0.5037255747493549,0.55
COST,0.5036706660383937,0.548
PPL,0.5036119579275921,0.546
DASH,0.503259899311002,0.544
KMI,0.5031369990452655,0.542
AVGO,0.5029659998753895,0.54
CB,0.5027983852849665,0.538
GEHC,0.5026381405708252,0.536
CLX,0.5024668462329085,0.534
MRNA,0.5024468519645232,0.532
BBY,0.5024234579434961,0.53
XYL,0.5023561586128847,0.528
VTR,0.5021506435562026,0.526
WAT,0.5020312541678675,0.524
TXT,0.5019780726141964,0.522
TSN,0.5014812114138625,0.52
O,0.50135631409837,0.518
ZTS,0.5011074711381425,0.516
COP,0.5010755475358135,0.514
FE,0.50102589269859,0.512
MMM,0.5010036635356099,0.51
AXON,0.5009635727792662,0.508
MCHP,0.5008451323246869,0.506
ULTA,0.5008374803258746,0.504
CVS,0.5001338251397792,0.502
PCAR,0.5000416006406254,0.5
UPS,0.4999934865828342,0.498
EQT,0.49981744982374965,0.496
HUBB,0.4997634357156931,0.494
WELL,0.49962807094430856,0.492
HIG,0.4994925782996114,0.49
IBM,0.49925102818987016,0.488
LVS,0.4990149155031537,0.486
TRV,0.4990053757862868,0.484
EA,0.4987396848467825,0.482
MAS,0.4986912387609811,0.48
IQV,0.4986165224560602,0.478
XYZ,0.4984374243694421,0.476
GILD,0.4978182631465969,0.474
AAPL,0.4975388900643531,0.472
HBAN,0.49742629807114,0.47
CEG,0.4974119464952161,0.468
UHS,0.49734943577737434,0.466
VZ,0.4971197252706964,0.464
ITW,0.49705422303668345,0.462
WM,0.49697531163806763,0.46
GPC,0.49676328102632306,0.458
EXE,0.49672560675537525,0.456
EOG,0.4966363231348831,0.454
TAP,0.4965176707919251,0.452
DLR,0.496500876890704,0.45
PM,0.49629818159818856,0.448
CRH,0.49622815735118864,0.446
AKAM,0.49591812979550665,0.444
LIN,0.49580516937409724,0.442
BF-B,0.49559577780377423,0.44
SMCI,0.49552734378476754,0.438
AON,0.49521444950543564,0.436
KMB,0.4950512695305961,0.434
RTX,0.49473596692269944,0.432
AMCR,0.4947209334643843,0.43
