date,month,cat,q,side,mkt,cost,pmod,stake,won,pnl,clv,end
2026-03-12,2026-03,politics,Will the Freedom Movement (GS) win the most seats in the 2026 Slovenia,NO,0.865,0.873,0.918,210.45,0,-210.45,-0.223,2026-03-22T00:00:00Z
2026-03-12,2026-03,politics,Will the Slovenian Democratic Party (SDS) win the most seats in the 20,YES,0.87,0.878,0.922,206.24,0,-206.24,-0.228,2026-03-22T00:00:00Z
2026-03-12,2026-03,politics,Will Grégory Doucet win the 2026 Lyon mayoral election?,NO,0.911,0.916,0.954,202.12,0,-202.12,-0.7615,2026-03-22T00:00:00Z
2026-03-12,2026-03,politics,Will Jean-Michel Aulas win the 2026 Lyon mayoral election?,YES,0.91,0.915,0.953,198.07,0,-198.07,-0.7605,2026-03-22T00:00:00Z
2026-03-12,2026-03,politics,Will Janez Janša be the next Prime Minister of Slovenia?,YES,0.685,0.697,0.733,192.19,1,83.55,-0.032,2026-03-22T00:00:00Z
2026-03-12,2026-03,politics,Will Anže Logar be the next Prime Minister of Slovenia?,NO,0.965,0.97,0.987,195.78,1,6.16,0.0125,2026-03-22T00:00:00Z
2026-03-12,2026-03,politics,Will Robert Golob be the next Prime Minister of Slovenia?,NO,0.745,0.757,0.801,195.91,1,62.89,-0.072,2026-03-22T00:00:00Z
2026-03-14,2026-03,politics,Will Troels Lund Poulsen be the next prime minister of Denmark after t,NO,0.78,0.792,0.838,197.16,1,51.78,0.028,2026-03-24T00:00:00Z
2026-03-14,2026-03,politics,Will Lars Løkke Rasmussen be the next prime minister of Denmark after ,NO,0.952,0.957,0.98,198.2,1,8.91,0.004,2026-03-24T00:00:00Z
2026-03-14,2026-03,politics,Will Alex Vanopslagh be the next prime minister of Denmark after the 2,NO,0.96,0.965,0.984,198.38,1,7.2,0.0115,2026-03-24T00:00:00Z
2026-03-14,2026-03,politics,Will Mette Frederiksen be the next prime minister of Denmark after the,YES,0.68,0.692,0.727,188.47,1,83.89,0.073,2026-03-24T00:00:00Z
2026-03-16,2026-03,geo,Will Ukraine win on 2026-03-26?,NO,0.685,0.697,0.718,113.01,1,49.13,-0.022,2026-03-26T19:45:00Z
2026-03-16,2026-03,geo,Will Ukraine vs. Sweden end in a draw?,NO,0.69,0.702,0.723,88.17,1,37.43,0.003,2026-03-26T19:45:00Z
2026-03-17,2026-03,politics,Will the Slovenian Democratic Party (SDS) win the most seats in the 20,YES,0.9,0.905,0.946,201.93,0,-201.93,-0.255,2026-03-22T00:00:00Z
2026-03-17,2026-03,politics,Will the Freedom Movement (GS) win the most seats in the 2026 Slovenia,NO,0.91,0.915,0.953,197.89,0,-197.89,-0.265,2026-03-22T00:00:00Z
